org_mnemonic,fan_id,action_date,uphoria_page,uphoria_widget
RICE,111aafc4-ba52-41ea-af50-4f2276a1d3a0,2021-08-27,Splash Page,
RICE,ca02244f-b141-4d80-9b37-56fe048bfd20,2021-08-27,Splash Page,
RICE,b63e689b-992d-4bea-97a7-ee79448cb4c0,2021-08-27,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-28,Tickets,IMAGE_WIDGET
RICE,bafc1a7d-c2ee-4805-9d58-a92fe37d8bea,2021-08-28,Tickets,IMAGE_WIDGET
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-28,Tickets,IMAGE_WIDGET
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-28,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,94d4aba7-1c06-485f-8da5-bd2781213e64,2021-08-28,Splash Page,
RICE,111aafc4-ba52-41ea-af50-4f2276a1d3a0,2021-08-28,Splash Page,
RICE,e6b50abe-b27c-41b2-8ec8-5d1ac32336d6,2021-08-28,Tickets,IMAGE_WIDGET
RICE,b540a3f5-94e4-4068-a744-bfc5ce83881b,2021-08-28,Splash Page,
RICE,46a98496-cb7a-4926-a510-38dbed8b6635,2021-08-28,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-30,Tickets,IMAGE_WIDGET
RICE,ca0622a6-e965-449b-8690-c3d7eb1a3afa,2021-08-30,Splash Page,
RICE,1aec59bd-f86b-4947-bad3-3e5ce58dbbb0,2021-08-30,Splash Page,
RICE,220f0f4a-5dae-41d7-b4ea-798e14a9c182,2021-08-30,Splash Page,
RICE,3070610f-ba21-4696-8fb8-601a5d3de70a,2021-08-30,Splash Page,
RICE,47cb0bbd-aab7-46e9-a16d-32e83d38807d,2021-08-30,Splash Page,
RICE,a6f800fe-8ec3-4edd-b7c0-1a0a9d5e2d46,2021-08-30,Splash Page,
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-30,Splash Page,
RICE,c86bb930-5eb9-419a-9aa2-7210d717e458,2021-08-30,Splash Page,
RICE,6f2b355f-31db-4ff3-9966-b9730957c53c,2021-08-30,Splash Page,
RICE,ca02244f-b141-4d80-9b37-56fe048bfd20,2021-08-30,Splash Page,
RICE,b540a3f5-94e4-4068-a744-bfc5ce83881b,2021-08-30,Splash Page,
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-08-30,Splash Page,
RICE,e00a6c6f-ea93-4960-886d-a2d1fa5143ff,2021-08-30,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-30,Splash Page,
RICE,6ec1e1a1-cad1-4274-939f-f58d60282db9,2021-08-31,Splash Page,
RICE,2a593ec8-74c0-4c05-b6b2-d62751360f65,2021-08-31,Splash Page,
RICE,c2b2e546-535e-4d79-9524-21b93e1b1a29,2021-08-31,Splash Page,
RICE,6ec1e1a1-cad1-4274-939f-f58d60282db9,2021-08-31,Tickets,IMAGE_WIDGET
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-31,Brand Page,IMAGE_WIDGET
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-08-31,Tickets,IMAGE_WIDGET
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-08-31,SHOW_DETAILS,IMAGE_WIDGET
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-31,Tickets,IMAGE_WIDGET
RICE,c86bb930-5eb9-419a-9aa2-7210d717e458,2021-08-31,Splash Page,
RICE,6f2b355f-31db-4ff3-9966-b9730957c53c,2021-08-31,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-31,Splash Page,
RICE,3c332490-4ba2-4761-9323-581791479c0f,2021-08-31,Splash Page,
RICE,1604224c-29ad-4b1f-a337-d154c76ddb5d,2021-08-31,Splash Page,
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-31,Splash Page,
RICE,bafc1a7d-c2ee-4805-9d58-a92fe37d8bea,2021-08-31,Splash Page,
RICE,5bfdb728-63b5-4259-9e8e-fd20e743d77f,2021-08-31,Splash Page,
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-08-31,Splash Page,
RICE,ce4c6df4-d673-4947-a7e1-dfcaaf1d15d3,2021-08-31,Tickets,IMAGE_WIDGET
RICE,ac96a6a5-8384-4f81-b542-bd2fd7b27674,2021-08-31,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Brand Page,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Home,IMAGE_WIDGET
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-19,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-17,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,UPHORIA_PROFILE,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-19,Tickets,IMAGE_WIDGET
RICE,0e565c4e-2af6-44e3-a9c8-39f17a6c6fb1,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
